"id_short"	"id"	"family"	"given"	"other_family_names"	"other_given_names"	"birth"	"death"	"parl_period_start"	"parl_period_end"	"party"	"party_ids"	"label"	"gender"	"role_label"	"group_label"
911574	"http://ldf.fi/semparl/people/p911574"	"Syrjänen"	"August"		"Kustaa August"	1883-01-01	1956-01-01	1933-09-01	1945-04-05	"SDP"	"http://ldf.fi/semparl/groups/Q499029"	"Syrjänen, August (1883-1956)"	"Male"	"edustaja"	
601	"http://ldf.fi/semparl/people/p601"	"Syvärinen"	"Katja"		"Katja Maarika"	1971-01-01		1999-03-24	2003-03-18	"Vas."	"http://ldf.fi/semparl/groups/Q385927"	"Syvärinen, Katja (1971-)"	"Female"	"edustaja"	
274	"http://ldf.fi/semparl/people/p274"	"Säilynoja"	"Vappu"		"Vappu Johanna"	1926-01-01	2016-01-01	1979-03-24	1991-03-21	"SKDL"	"http://ldf.fi/semparl/groups/Q585735"	"Säilynoja, Vappu (1926-2016)"	"Female"	"edustaja"	
268	"http://ldf.fi/semparl/people/p268"	"Särkijärvi"	"Jouni J."		"Jouni Juhani"	1948-01-01		1981-02-03	1993-07-31	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Särkijärvi, Jouni J. (1948-)"	"Male"	"edustaja"	
911575	"http://ldf.fi/semparl/people/p911575"	"Särkilahti"	"Allan"	"Serlachius"	"Carl Allan"	1870-01-01	1935-01-01	1914-02-02	1917-04-03	"Suomalainen puolue"	"http://ldf.fi/semparl/groups/Q1378704"	"Särkilahti, Allan (1870-1935)"	"Male"	"edustaja"	
773	"http://ldf.fi/semparl/people/p773"	"Särkiniemi"	"Seppo"		"Seppo Antero"	1957-01-01		2003-03-19	2007-03-20	"Kesk."	"http://ldf.fi/semparl/groups/Q506591"	"Särkiniemi, Seppo (1957-)"	"Male"	"edustaja"	
773	"http://ldf.fi/semparl/people/p773"	"Särkiniemi"	"Seppo"		"Seppo Antero"	1957-01-01		2010-09-20	2011-04-19	"Kesk."	"http://ldf.fi/semparl/groups/Q506591"	"Särkiniemi, Seppo (1957-)"	"Male"	"edustaja"	
911576	"http://ldf.fi/semparl/people/p911576"	"Särkkä"	"Eeva"	"Tiitinen"	"Eeva Tellervo"	1935-01-01	1989-01-01	1970-03-23	1972-01-21			"Särkkä, Eeva (1935-1989)"	"Female"	"edustaja"	
911577	"http://ldf.fi/semparl/people/p911577"	"Särkkä"	"Wille"		"W.K.; Wilhelm Gustaf; Wille Kustaa"	1877-01-01	1968-01-01	1917-11-01	1929-07-31	"Kansallinen Edistyspuolue"	"http://ldf.fi/semparl/groups/Q1191102"	"Särkkä, Wille (1877-1968)"	"Male"	"edustaja"	
911577	"http://ldf.fi/semparl/people/p911577"	"Särkkä"	"Wille"		"W.K.; Wilhelm Gustaf; Wille Kustaa"	1877-01-01	1968-01-01	1930-10-21	1936-08-31	"Kansallinen Edistyspuolue"	"http://ldf.fi/semparl/groups/Q1191102"	"Särkkä, Wille (1877-1968)"	"Male"	"edustaja"	
