id__short	id	family	given	other_family_names	other_given_names	label	gender	birth	death	role_label	group_label	group_id	group_class	parl_period_start	parl_period_end	party	party_ids
910346	http://ldf.fi/semparl/people/p910346	Erkko	Eljas		Juho Eljas	Erkko, Eljas (1895-1965)	Male	1895-01-01	1965-12-31	jäsen	Kansallinen edistyspuolue (eduskuntaryhmä) (1933-1936)	http://ldf.fi/semparl/groups/g7294127120944472792	http://ldf.fi/semparl/groups/pg12	1933-09-01	1936-08-31	Kansallinen Edistyspuolue	http://ldf.fi/semparl/groups/Q1191102
910346	http://ldf.fi/semparl/people/p910346	Erkko	Eljas		Juho Eljas	Erkko, Eljas (1895-1965)	Male	1895-01-01	1965-12-31	ulkoasiainministeri	Cajanderin III hallitus	http://ldf.fi/semparl/groups/Cajander_III	http://ldf.fi/schema/semparl/Government	1938-12-12	1939-12-01	Kansallinen Edistyspuolue	http://ldf.fi/semparl/groups/Q1191102
559	http://ldf.fi/semparl/people/p559	Erlund	Rainer		Rainer Vilhelm	Erlund, Rainer (1940-2000)	Male	1940-01-01	2000-12-31	jäsen	Ruotsalainen eduskuntaryhmä (1999-2003)	http://ldf.fi/semparl/groups/g1033214607379053506	http://ldf.fi/semparl/groups/pg5	1999-03-24	1999-08-09	RKP	http://ldf.fi/semparl/groups/Q845537
559	http://ldf.fi/semparl/people/p559	Erlund	Rainer		Rainer Vilhelm	Erlund, Rainer (1940-2000)	Male	1940-01-01	2000-12-31	jäsen	Ryhmä Erlund (eduskuntaryhmä) (1999-2003)	http://ldf.fi/semparl/groups/g3724650736519426698	http://ldf.fi/semparl/groups/pg79	1999-08-10	2000-04-16		
910347	http://ldf.fi/semparl/people/p910347	Eronen	Aukusti			Eronen, Aukusti (1875-1935)	Male	1875-01-01	1935-12-31	jäsen	Suomalainen puolue (eduskuntaryhmä) (1908-1909)	http://ldf.fi/semparl/groups/g2057895086308844780	http://ldf.fi/semparl/groups/pg8	1908-08-01	1909-05-31	Suomalainen puolue	http://ldf.fi/semparl/groups/Q1378704
910347	http://ldf.fi/semparl/people/p910347	Eronen	Aukusti			Eronen, Aukusti (1875-1935)	Male	1875-01-01	1935-12-31	jäsen	Suomalainen puolue (eduskuntaryhmä) (1910-1911)	http://ldf.fi/semparl/groups/g3010345049173904999	http://ldf.fi/semparl/groups/pg8	1910-10-08	1911-01-31	Suomalainen puolue	http://ldf.fi/semparl/groups/Q1378704
910348	http://ldf.fi/semparl/people/p910348	Eronen	Oliver		Olivier	Eronen, Oliver (1865-1939)	Male	1865-01-01	1939-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1909-1910)	http://ldf.fi/semparl/groups/g1456398722153620144	http://ldf.fi/semparl/groups/pg1	1907-05-22	1918-09-25	SDP	http://ldf.fi/semparl/groups/Q499029
910348	http://ldf.fi/semparl/people/p910348	Eronen	Oliver		Olivier	Eronen, Oliver (1865-1939)	Male	1865-01-01	1939-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1922-1924)	http://ldf.fi/semparl/groups/g2115375823847943803	http://ldf.fi/semparl/groups/pg1	1922-09-05	1924-04-30	SDP	http://ldf.fi/semparl/groups/Q499029
910349	http://ldf.fi/semparl/people/p910349	Eskelinen	Katri-Helena			Eskelinen, Katri-Helena (1925-2014)	Female	1925-01-01	2014-12-31	jäsen	Keskustan eduskuntaryhmä (1970-1972)	http://ldf.fi/semparl/groups/g3277267243793996670	http://ldf.fi/semparl/groups/pg3	1966-04-05	1987-03-20	Kesk.	http://ldf.fi/semparl/groups/Q506591
910349	http://ldf.fi/semparl/people/p910349	Eskelinen	Katri-Helena			Eskelinen, Katri-Helena (1925-2014)	Female	1925-01-01	2014-12-31	ministeri sosiaali- ja terveysministeriössä	Karjalaisen II hallitus	http://ldf.fi/semparl/groups/Karjalainen_II	http://ldf.fi/schema/semparl/Government	1970-07-15	1971-10-28	Kesk.	http://ldf.fi/semparl/groups/Q506591
